entity1,entity2,pertinence,dot,relation
11,4,1080,1,0
11,2,1216,1,0
11,3,1431,1,0
11,2,584,0,0
11,11,584,0,0
4,2,684,1,0
4,3,899,1,0
4,2,1045,1,0
4,11,1114,1,0
2,3,765,1,0
2,2,1181,1,0
2,11,1250,1,0
3,2,1396,1,0
3,11,1465,1,0
2,11,618,0,0
4,4,710,1,0
4,11,714,1,0
4,3,811,1,0
4,4,1012,1,0
4,5,993,1,0
4,11,554,0,0
4,3,651,0,1
4,4,852,1,0
4,5,833,1,0
11,3,643,0,1
11,4,844,1,0
11,5,825,1,0
3,4,505,1,0
3,5,486,1,0
4,5,569,0,0
5,4,673,1,0
5,6,1374,1,0
5,4,396,1,0
5,2,1312,1,0
5,4,673,1,0
5,2,855,1,0
5,3,360,1,0
5,11,666,1,0
5,4,1409,1,0
5,11,641,1,0
5,4,612,1,0
5,6,1416,1,0
5,5,425,1,0
5,4,1312,1,0
5,5,1514,1,0
5,11,521,1,0
4,6,1008,1,0
4,4,555,1,0
4,2,946,1,0
4,4,307,0,0
4,2,368,0,0
4,3,591,1,0
4,11,557,1,0
4,4,1043,1,0
4,11,578,1,0
4,4,368,1,0
4,6,1050,1,0
4,5,552,1,0
4,4,946,1,0
4,5,1148,1,0
4,11,395,1,0
6,4,1256,1,0
6,2,576,0,1
6,4,1008,1,0
6,2,1069,1,0
6,3,1292,1,0
6,11,1258,1,0
6,4,584,0,0
6,11,1279,1,0
6,4,1069,1,0
6,6,591,0,0
6,5,1253,1,0
6,4,612,0,1
6,5,689,0,0
6,11,1096,1,0
4,2,1194,1,0
4,4,555,1,0
4,2,737,1,0
4,3,314,1,0
4,11,280,1,0
4,4,1291,1,0
4,11,301,1,0
4,4,494,0,0
4,6,1298,1,0
4,5,307,0,1
4,4,1194,1,0
4,5,1396,1,0
4,11,403,0,0
2,4,946,1,0
2,2,1007,1,0
2,3,1230,1,0
2,11,1196,1,0
2,4,611,0,0
2,11,1217,1,0
2,4,1007,1,0
2,6,618,0,0
2,5,1191,1,0
2,4,550,0,0
2,5,716,0,0
2,11,1034,1,0
4,2,368,0,0
4,3,591,1,0
4,11,557,1,0
4,4,1043,1,0
4,11,578,1,0
4,4,368,1,0
4,6,1050,1,0
4,5,552,1,0
4,4,946,1,0
4,5,1148,1,0
4,11,395,1,0
2,3,773,1,0
2,11,739,1,0
2,4,1104,1,0
2,11,760,1,0
2,4,550,1,0
2,6,1111,1,0
2,5,734,1,0
2,4,1007,1,0
2,5,1209,1,0
2,11,577,1,0
3,11,584,0,1
3,4,1327,1,0
3,11,559,0,1
3,4,530,1,0
3,6,1334,1,0
3,5,343,1,0
3,4,1230,1,0
3,5,1432,1,0
3,11,439,1,0
11,4,1293,1,0
11,11,571,0,0
11,4,496,1,0
11,6,1300,1,0
11,5,309,1,0
11,4,1196,1,0
11,5,1398,1,0
11,11,405,1,0
4,11,1314,1,0
4,4,1104,1,0
4,6,550,0,1
4,5,1288,1,0
4,4,647,0,0
4,5,648,0,0
4,11,1131,1,0
